date,code,open,high,low,close,volume,amount
2025-01-10,sz.301458,40.74318894,42.60102272,34.89150928,35.8651334,46378010,1812436016.83
2025-01-13,sz.301458,34.77229,38.62704672,33.01380562,36.6102539,33682805,1242960920.01
2025-01-14,sz.301458,35.5174105,50.70793376,34.89150928,44.70723,41990950,1804060111.22
2025-01-15,sz.301458,42.223495,42.223495,36.42149004,36.73940812,37075574,1457897201.07
2025-01-16,sz.301458,35.765784,39.23307806,35.75584906,37.42491898,27926874,1055459072.33
2025-01-17,sz.301458,36.73940812,36.73940812,33.24230924,33.24230924,26642447,921238943.89
2025-01-20,sz.301458,32.785302,39.8887841,32.55679838,39.8887841,27496290,1006835098.8
2025-01-21,sz.301458,40.3855311,44.57807578,39.62054072,40.15702748,42127472,1749467289.18
2025-01-22,sz.301458,39.5907359,43.5150372,38.6965913,41.12071666,33015358,1360831016.31
2025-01-23,sz.301458,42.15395042,42.49173838,39.42184192,39.62054072,24562529,1010091119.48
2025-01-24,sz.301458,40.17689736,40.86240822,37.36530934,37.48452862,23520754,909969691.6
2025-01-27,sz.301458,36.0638322,37.41498404,34.64313578,34.64313578,15806041,564599416.67
2025-02-05,sz.301458,33.95762492,35.39819122,33.6794466,34.94118398,13624573,473869199.86
2025-02-06,sz.301458,34.54378638,35.7161093,34.40469722,35.40812616,14878471,527342518.3
2025-02-07,sz.301458,35.34851652,36.6599286,35.12994784,35.85519846,16907310,611609820.91
2025-02-10,sz.301458,35.4180611,35.95454786,34.98092374,35.765784,12758949,455280794.14
2025-02-11,sz.301458,35.60682496,36.262531,34.71268036,35.74591412,11606617,414511199.78
2025-02-12,sz.301458,35.765784,35.98435268,35.1696876,35.62669484,9915562,354830638.22
2025-02-13,sz.301458,35.42799604,35.44786592,34.3748924,34.3748924,10722602,375199473.47
2025-02-14,sz.301458,34.11658396,36.2128563,34.11658396,35.32864664,11767131,419136178.87
2025-02-17,sz.301458,34.8716394,37.04739126,34.78222494,36.77914788,17570454,640468401.02
2025-02-18,sz.301458,36.759278,36.759278,34.84183458,34.95111892,12405265,448183446.7
2025-02-19,sz.301458,34.76235506,36.52083944,34.6729406,36.38175028,12228226,442908789.92
2025-02-20,sz.301458,36.13337678,36.73940812,35.72604424,36.50096956,9642578,351298966.45
2025-02-21,sz.301458,36.759278,38.26938888,36.74934306,37.2063503,15326817,576491545.38
2025-02-24,sz.301458,36.5605792,36.9579768,35.39819122,36.52083944,9009203,327829959.04
2025-02-25,sz.301458,35.84526352,38.1998443,35.77571894,37.0573262,12507694,470621322.71
2025-02-26,sz.301458,37.256025,38.12036478,36.45129486,37.83225152,12215428,457532636.02
2025-02-27,sz.301458,37.9514708,37.96140574,36.59038402,37.0573262,10334050,387116932.09
2025-02-28,sz.301458,36.64999366,36.68973342,34.71268036,34.84183458,9884696,352574213.42
2025-03-03,sz.301458,35.10014302,35.84526352,34.7226153,35.4180611,6715819,238687995.28
2025-03-04,sz.301458,34.77229,36.12344184,34.5239165,35.9148081,6963672,250285988.32
2025-03-05,sz.301458,35.8651334,35.93467798,34.99085868,35.62669484,5455224,195261091.4
2025-03-06,sz.301458,35.765784,36.64999366,35.5670852,36.4115551,7651157,278830777.07
2025-03-07,sz.301458,36.0638322,37.47459368,35.85519846,36.77914788,11328970,419606340.94
2025-03-10,sz.301458,37.256025,38.27932382,37.03745632,38.0508202,15484724,586491987.72
2025-03-11,sz.301458,37.1566756,40.40540098,36.76921294,38.96483468,17451576,672865970.3
2025-03-12,sz.301458,38.52769732,39.3423624,38.0508202,38.1501696,12927477,501917080.42
2025-03-13,sz.301458,37.97134068,39.37216722,37.44478886,38.40847804,12737524,493918695.29
2025-03-14,sz.301458,37.79251176,38.9946395,37.13680572,38.35880334,12983493,497479365.73
2025-03-17,sz.301458,38.37867322,38.56743708,37.57394308,37.84218646,8755692,334231030.26
2025-03-18,sz.301458,38.16010454,40.2861817,37.97134068,39.8887841,20087928,797604620.5
2025-03-19,sz.301458,39.91858892,40.4352058,38.77607082,39.02444432,13881714,550540175.81
2025-03-20,sz.301458,38.62704672,38.88535516,37.7030973,37.752772,10674044,411335789.17
2025-03-21,sz.301458,37.7030973,37.7030973,36.43142498,36.5109045,8395939,312550480.77
2025-03-24,sz.301458,36.39168522,36.73940812,35.25910206,36.62018884,7214410,262284377.74
2025-03-25,sz.301458,36.53077438,36.9579768,36.05389726,36.29233582,5248588,192573138.31
2025-03-26,sz.301458,36.20292136,36.64999366,36.13337678,36.19298642,3817051,139868409.09
2025-03-27,sz.301458,35.87506834,36.68973342,35.28890688,36.15324666,5080509,184735332.6
2025-03-28,sz.301458,36.1631816,36.33207558,35.09020808,35.1200129,4867950,174667950.7
2025-03-31,sz.301458,34.6729406,35.8154587,34.53385144,35.62669484,4623572,164638541.91
2025-04-01,sz.301458,35.43793098,36.49103462,35.29884182,35.95454786,4743956,170789155.49
2025-04-02,sz.301458,35.8651334,36.12344184,35.57702014,35.60682496,3290689,118556042.98
2025-04-03,sz.301458,35.25910206,35.94461292,35.09020808,35.6664346,3579416,128231415.66
2025-04-07,sz.301458,32.785302,33.55029238,28.53314768,28.53314768,8156482,245855089.91
2025-04-08,sz.301458,28.811326,29.57631638,26.78459824,27.92711634,8044908,227421064.47
2025-04-09,sz.301458,26.90381752,28.8610007,24.28099336,28.42386334,8598837,233243837.25
2025-04-10,sz.301458,29.57631638,30.4009164,29.308073,29.43722722,7978766,239635752.84
2025-04-11,sz.301458,28.69210672,30.0035188,28.69210672,29.78495012,5363019,159932155.26
2025-04-14,sz.301458,31.11623208,31.28512606,30.02338868,30.23202242,5119597,157355867.08
2025-04-15,sz.301458,30.09293326,30.31150194,29.62599108,29.93397422,3011465,90745674.5
2025-04-16,sz.301458,29.72534048,29.97371398,29.23852842,29.54651156,3258488,97017129.88
2025-04-17,sz.301458,29.28820312,30.0035188,29.28820312,29.5564465,2919348,87504783.05
2025-04-18,sz.301458,29.6061212,30.09293326,29.27826818,29.80482,2939714,87889442.6
2025-04-21,sz.301458,29.82468988,30.4505911,29.7054706,30.38104652,3117254,94627970.94
2025-04-22,sz.301458,30.29163206,30.4505911,30.02338868,30.1028682,2542930,77458443.46
2025-04-23,sz.301458,30.37111158,31.42421522,30.26182724,30.88772846,4553940,140961807.46
2025-04-24,sz.301458,30.77844412,31.27519112,30.0035188,30.09293326,3463900,106077702.84
2025-04-25,sz.301458,30.47046098,30.9473381,30.27176218,30.58968026,3730126,115035561.12
2025-04-28,sz.301458,30.38104652,30.62942002,29.54651156,29.7054706,3690004,111231389.56
2025-04-29,sz.301458,29.43722722,30.03332362,29.1590489,29.80482,2914374,87240118.74
2025-04-30,sz.301458,29.78495012,30.28169712,29.77501518,30.17241278,2718436,82502530.68
2025-05-06,sz.301458,30.75857424,31.2453863,30.4009164,31.18577666,3931924,122404980.98
2025-05-07,sz.301458,31.4440851,31.68252366,30.63935496,30.98707786,4013053,125590314.73
2025-05-08,sz.301458,31.12616702,32.06005138,31.00694774,31.71232848,4300400,136687943.0
2025-05-09,sz.301458,31.5434345,31.6924586,30.92746822,31.0466875,2847595,89336065.18
2025-05-12,sz.301458,31.70239354,32.00044174,31.4937598,31.88122246,3737104,119626842.4
2025-05-13,sz.301458,32.64621284,32.7356273,31.82161282,31.90109234,3732505,120770026.57
2025-05-14,sz.301458,32.20907548,32.47731886,31.71232848,31.93089716,3305100,106500240.0
2025-05-15,sz.301458,31.95076704,31.95076704,31.10629714,31.25532124,2790206,88122143.08
2025-05-16,sz.301458,31.22551642,33.06348032,31.11623208,32.2388803,5723540,185356313.28
2025-05-19,sz.301458,32.0898562,32.2388803,31.2453863,31.36460558,3748600,118675028.92
2025-05-20,sz.301458,31.31493088,31.56330438,30.9970128,31.47388992,2249656,70982981.4
2025-05-21,sz.301458,31.40434534,31.48382486,30.798314,31.05662244,2625830,82139890.1
2025-05-22,sz.301458,30.96720798,31.65271884,30.62942002,30.63935496,3225700,100499513.0
2025-05-23,sz.301458,30.61948508,31.02681762,30.19228266,30.19228266,2588404,79736453.52
2025-05-26,sz.301458,30.18234772,30.46052604,30.0531935,30.36117664,1596125,48589433.37
2025-05-27,sz.301458,30.301567,30.301567,29.6557959,29.81475494,2360835,70962713.12
2025-05-28,sz.301458,30.06312844,30.27176218,29.61605614,29.71540554,1673410,50336621.3
2025-05-29,sz.301458,30.0531935,30.7486393,29.84455976,30.54000556,2994310,91932301.1
2025-05-30,sz.301458,30.43,30.48,29.75,29.86,2445104,73312568.12
2025-06-03,sz.301458,29.86,30.24,29.81,29.96,1496592,44965620.74
2025-06-04,sz.301458,29.99,30.48,29.88,30.34,1817700,55122915.0
2025-06-05,sz.301458,30.24,31.18,30.1,30.84,3515800,107898998.0
2025-06-06,sz.301458,30.8,30.99,30.5,30.6,2124821,65094698.8
2025-06-09,sz.301458,30.66,30.88,30.61,30.8,1754584,53940427.32
2025-06-10,sz.301458,30.81,30.85,29.94,30.25,2693700,81817847.0
2025-06-11,sz.301458,30.28,30.95,30.25,30.59,2355500,72330215.0
2025-06-12,sz.301458,30.44,31.93,30.42,31.37,5464162,170111938.57
2025-06-13,sz.301458,30.95,31.84,30.83,30.9,4839069,150910119.26
2025-06-16,sz.301458,30.68,31.38,30.68,30.96,2509362,77954468.47
2025-06-17,sz.301458,31.0,31.17,30.35,30.56,2631095,80540362.65
2025-06-18,sz.301458,30.38,31.69,30.26,31.58,5642912,176245477.64
2025-06-19,sz.301458,31.57,31.83,30.89,31.07,3621100,113550545.08
2025-06-20,sz.301458,30.87,31.82,30.77,31.05,3867841,120848053.09
2025-06-23,sz.301458,30.6,31.27,30.52,31.16,2893761,89630648.32
2025-06-24,sz.301458,31.15,32.14,31.13,31.9,4700135,149761287.37
2025-06-25,sz.301458,31.94,32.1,31.63,31.98,4167379,132846902.23
2025-06-26,sz.301458,32.54,34.77,32.38,33.22,13403306,450088844.53
2025-06-27,sz.301458,33.24,34.97,32.95,34.31,12863401,436329947.52
2025-06-30,sz.301458,35.2,35.83,34.02,34.43,12778832,444525875.41
2025-07-01,sz.301458,34.03,35.11,33.7,34.14,7989923,273325999.67
2025-07-02,sz.301458,34.08,34.08,32.71,33.04,6531224,216244447.64
2025-07-03,sz.301458,33.17,34.76,32.88,34.1,8064898,273751889.53
2025-07-04,sz.301458,35.01,35.19,33.3,33.63,6850976,233094889.89
2025-07-07,sz.301458,33.14,33.38,32.47,32.65,5124376,167657420.7
2025-07-08,sz.301458,32.48,33.98,32.38,33.62,6544320,218504239.0
2025-07-09,sz.301458,33.42,33.71,33.0,33.04,4351999,144897640.55
2025-07-10,sz.301458,34.13,37.66,33.77,35.13,18217938,644574179.67
2025-07-11,sz.301458,34.78,34.99,33.5,33.74,11461397,389116063.92
2025-07-14,sz.301458,33.98,35.09,33.91,34.49,8841272,306416579.06
2025-07-15,sz.301458,34.5,36.92,34.35,35.96,15480653,554968588.22
2025-07-16,sz.301458,35.81,37.29,35.18,36.8,15714261,570310888.0
2025-07-17,sz.301458,37.0,37.07,35.86,36.38,10945175,397773237.89
2025-07-18,sz.301458,36.89,36.9,35.42,35.5,9056076,325463130.58
2025-07-21,sz.301458,35.15,35.76,35.07,35.75,6069456,214591570.16
2025-07-22,sz.301458,35.44,35.62,34.81,34.81,6334605,222296142.92
2025-07-23,sz.301458,34.7,35.07,34.46,34.46,4165199,144848448.85
2025-07-24,sz.301458,34.61,34.97,34.61,34.89,3308519,115193784.28
2025-07-25,sz.301458,34.82,35.21,34.71,35.21,3863193,135112772.9
2025-07-28,sz.301458,35.28,35.97,34.82,35.93,6806731,241820105.45
2025-07-29,sz.301458,35.64,35.85,35.06,35.34,4715222,166568469.54
