date,code,open,high,low,close,volume,amount
2022-01-28,sh.688520,53.4,54.3,52.72,53.02,433267,23153312.07
2022-02-07,sh.688520,53.95,55.21,53.02,54.4,392429,21354067.76
2022-02-08,sh.688520,54.3,54.4,53.06,54.24,333542,17925994.92
2022-02-09,sh.688520,53.86,54.52,53.6,54.18,309918,16779900.05
2022-02-10,sh.688520,53.9,54.49,53.2,53.28,322857,17297604.19
2022-02-11,sh.688520,53.78,53.78,51.88,52.0,440515,23081444.43
2022-02-14,sh.688520,51.86,53.42,50.89,51.0,367557,19115724.23
2022-02-15,sh.688520,51.2,52.28,51.01,51.55,269567,13942543.5
2022-02-16,sh.688520,52.36,52.52,51.4,51.8,224850,11652269.86
2022-02-17,sh.688520,51.7,52.38,51.55,51.95,191763,9943480.93
2022-02-18,sh.688520,51.18,52.19,51.18,52.0,264300,13703698.19
2022-02-21,sh.688520,52.0,52.4,51.16,52.06,305495,15834367.31
2022-02-22,sh.688520,52.0,52.0,50.3,50.76,417765,21281417.44
2022-02-23,sh.688520,51.0,51.87,50.6,51.2,269855,13867991.52
2022-02-24,sh.688520,51.22,53.49,51.21,51.44,694948,36313272.92
2022-02-25,sh.688520,52.0,53.3,51.77,51.81,307958,16098348.17
2022-02-28,sh.688520,52.59,53.21,51.52,52.32,425900,22287858.0
2022-03-01,sh.688520,52.35,52.81,51.7,51.98,264555,13759184.0
2022-03-02,sh.688520,51.99,52.0,51.09,51.41,228116,11757441.0
2022-03-03,sh.688520,51.96,51.96,50.91,51.0,327088,16747783.0
2022-03-04,sh.688520,50.55,51.59,50.36,50.99,298719,15211906.0
2022-03-07,sh.688520,51.02,51.3,49.66,49.78,350017,17516269.0
2022-03-08,sh.688520,49.82,50.06,48.41,48.89,344158,16895487.0
2022-03-09,sh.688520,49.0,49.48,46.17,47.9,553526,26346647.0
2022-03-10,sh.688520,49.0,49.45,48.42,48.6,310628,15203656.0
2022-03-11,sh.688520,48.06,49.92,47.31,49.5,483863,23397620.0
2022-03-14,sh.688520,48.05,51.36,48.05,49.53,503335,25321200.0
2022-03-15,sh.688520,48.62,49.44,46.7,47.03,459749,22191370.0
2022-03-16,sh.688520,48.02,48.03,45.51,47.6,526992,24629035.0
2022-03-17,sh.688520,48.4,50.25,47.8,49.03,503199,24733055.0
2022-03-18,sh.688520,49.0,49.57,48.69,49.05,244983,12045118.62
2022-03-21,sh.688520,50.28,50.94,48.71,50.48,533719,26566949.16
2022-03-22,sh.688520,52.53,59.8,52.53,57.01,3362976,192600236.83
2022-03-23,sh.688520,57.0,61.5,57.0,58.2,2742995,163044277.85
2022-03-24,sh.688520,56.7,57.75,55.72,56.65,1716657,97143520.6
2022-03-25,sh.688520,55.2,57.45,54.0,54.0,1238899,68398961.04
2022-03-28,sh.688520,54.0,54.86,51.85,52.02,800228,42345024.24
2022-03-29,sh.688520,52.01,52.75,51.37,51.53,576484,30051304.17
2022-03-30,sh.688520,51.71,52.5,51.06,52.07,494961,25730896.85
2022-03-31,sh.688520,51.58,52.79,51.22,51.9,393723,20443245.49
2022-04-01,sh.688520,51.8,51.8,50.2,50.34,793900,40404385.19
2022-04-06,sh.688520,50.78,50.97,48.37,48.78,950378,46871634.72
2022-04-07,sh.688520,48.78,48.95,47.06,47.16,669876,31899756.99
2022-04-08,sh.688520,47.29,47.76,46.15,46.3,534187,24906221.32
2022-04-11,sh.688520,46.4,46.93,45.4,45.73,581428,26691404.74
2022-04-12,sh.688520,46.33,46.46,45.23,46.31,397006,18215483.43
2022-04-13,sh.688520,46.5,46.7,44.88,45.82,425735,19452099.44
2022-04-14,sh.688520,46.4,46.83,45.39,45.84,668705,30697120.63
2022-04-15,sh.688520,45.84,45.84,44.79,45.0,398347,18006013.7
2022-04-18,sh.688520,45.0,45.74,43.71,45.58,359239,16067155.93
2022-04-19,sh.688520,46.27,46.28,44.14,44.14,361413,16146206.59
2022-04-20,sh.688520,44.5,44.5,43.7,43.97,243266,10724263.63
2022-04-21,sh.688520,43.9,44.25,41.71,41.75,574212,24608676.28
2022-04-22,sh.688520,41.69,42.29,41.03,41.76,408416,16994126.43
2022-04-25,sh.688520,41.66,44.99,40.12,41.24,815539,34553826.04
2022-04-26,sh.688520,42.5,42.99,40.6,41.05,481208,20061752.35
2022-04-27,sh.688520,40.4,43.6,40.4,43.37,973882,41540241.7
2022-04-28,sh.688520,45.0,46.49,43.5,43.96,771476,34534446.54
2022-04-29,sh.688520,43.96,45.67,43.96,45.58,737208,33155236.67
2022-05-05,sh.688520,45.58,46.39,44.61,45.7,763277,34790580.32
2022-05-06,sh.688520,44.66,46.26,44.52,45.39,496568,22554147.43
2022-05-09,sh.688520,45.39,47.37,45.39,46.2,657372,30546240.56
2022-05-10,sh.688520,45.69,47.47,45.13,45.88,679462,31193708.86
2022-05-11,sh.688520,46.04,48.5,45.89,47.57,984875,46921675.19
2022-05-12,sh.688520,47.27,47.8,46.81,47.2,438261,20695317.1
2022-05-13,sh.688520,47.2,47.5,46.46,46.49,372234,17403708.17
2022-05-16,sh.688520,46.91,47.17,46.08,46.15,338969,15796444.35
2022-05-17,sh.688520,46.15,46.8,45.35,46.2,394794,18207324.78
2022-05-18,sh.688520,46.2,46.8,45.6,46.44,386970,17881274.98
2022-05-19,sh.688520,46.58,49.0,46.0,48.0,787411,37531666.29
2022-05-20,sh.688520,48.68,51.2,46.8,49.5,1502401,73042233.55
2022-05-23,sh.688520,49.0,50.15,48.8,49.04,878471,43527466.35
2022-05-24,sh.688520,48.5,49.85,48.09,48.09,834887,40797315.04
2022-05-25,sh.688520,48.1,50.88,47.2,49.78,1174279,57945245.05
2022-05-26,sh.688520,50.0,50.61,49.51,49.7,636398,31905295.96
2022-05-27,sh.688520,49.78,50.29,48.2,49.0,752563,36887894.04
2022-05-30,sh.688520,49.3,49.79,48.03,48.62,449405,21943437.25
2022-05-31,sh.688520,49.26,50.65,48.33,50.1,971466,48428690.46
2022-06-01,sh.688520,50.0,51.97,50.0,51.15,1259932,64586031.58
2022-06-02,sh.688520,51.16,51.55,50.02,51.17,706384,36119120.7
2022-06-06,sh.688520,51.17,52.18,50.73,51.23,1059438,54330742.64
2022-06-07,sh.688520,51.51,52.2,51.19,51.7,815440,42109165.05
2022-06-08,sh.688520,51.7,52.48,51.31,52.0,876751,45494118.57
2022-06-09,sh.688520,51.99,53.29,51.77,52.45,1029160,54042994.67
2022-06-10,sh.688520,52.18,54.69,52.18,53.28,1204034,64384729.79
2022-06-13,sh.688520,52.51,54.2,52.51,53.83,1076774,57717767.06
2022-06-14,sh.688520,53.83,54.24,52.23,52.79,718923,38143672.81
2022-06-15,sh.688520,52.56,53.5,52.32,52.41,764928,40414515.17
2022-06-16,sh.688520,52.89,52.9,51.0,51.43,910085,47136468.62
2022-06-17,sh.688520,52.4,53.4,51.8,53.15,1103421,58223385.17
2022-06-20,sh.688520,53.17,53.97,52.8,53.2,726717,38777487.26
2022-06-21,sh.688520,54.93,55.83,53.53,53.63,1205856,66061419.01
2022-06-22,sh.688520,53.65,54.43,52.85,53.11,621925,33160055.1
2022-06-23,sh.688520,53.88,53.93,52.38,53.33,881495,46879339.96
2022-06-24,sh.688520,53.38,54.54,53.38,54.06,635757,34402588.18
2022-06-27,sh.688520,54.1,54.93,52.4,52.91,1183692,63252619.15
2022-06-28,sh.688520,53.0,53.39,51.4,53.0,867561,45432351.02
2022-06-29,sh.688520,52.69,52.98,51.5,51.8,849177,44171919.47
2022-06-30,sh.688520,51.74,52.77,51.52,51.73,569385,29655874.87
2022-07-01,sh.688520,51.74,52.18,51.61,52.02,337865,17549344.71
2022-07-04,sh.688520,52.02,54.54,51.82,53.99,1177828,62909171.0
2022-07-05,sh.688520,54.31,55.28,53.51,54.4,820030,44493061.69
2022-07-06,sh.688520,54.5,57.44,54.47,56.69,1146693,64576923.52
2022-07-07,sh.688520,57.44,57.5,55.7,56.35,788652,44587534.66
2022-07-08,sh.688520,56.76,57.0,55.83,56.36,504199,28490481.18
2022-07-11,sh.688520,56.36,56.76,55.74,56.08,511648,28783374.69
2022-07-12,sh.688520,56.54,57.23,55.32,56.08,843287,47553302.48
2022-07-13,sh.688520,56.08,56.56,55.0,55.31,554629,30844412.33
2022-07-14,sh.688520,55.01,56.2,54.5,55.48,412728,22980128.0
2022-07-15,sh.688520,55.5,55.5,54.12,54.14,465396,25456482.32
2022-07-18,sh.688520,54.14,56.0,53.78,54.68,757358,41682733.29
2022-07-19,sh.688520,55.12,56.15,54.58,55.64,721627,40235295.8
2022-07-20,sh.688520,55.49,57.57,55.49,57.11,747409,42618808.1
2022-07-21,sh.688520,57.16,57.44,55.6,55.8,551179,31108188.77
2022-07-22,sh.688520,55.99,56.58,54.75,55.86,673801,37620634.06
2022-07-25,sh.688520,56.3,57.3,55.7,55.83,471682,26612044.51
2022-07-26,sh.688520,56.29,56.3,55.02,55.24,319669,17696886.68
2022-07-27,sh.688520,55.26,55.59,55.0,55.35,313083,17290089.39
2022-07-28,sh.688520,55.87,56.95,55.21,56.61,573456,32376613.77
2022-07-29,sh.688520,57.5,57.5,55.68,55.97,575798,32422282.88
2022-08-01,sh.688520,55.89,56.79,55.55,56.22,473821,26630559.08
2022-08-02,sh.688520,56.22,56.35,53.0,54.55,905051,49373077.48
2022-08-03,sh.688520,54.93,56.16,54.5,55.03,819222,45425677.94
2022-08-04,sh.688520,55.49,56.5,53.77,54.12,578313,31668489.0
2022-08-05,sh.688520,54.05,54.95,54.03,54.61,590666,32121993.0
2022-08-08,sh.688520,55.01,55.92,54.36,54.6,360712,19844555.0
2022-08-09,sh.688520,54.6,54.64,53.88,54.5,348776,18907559.0
2022-08-10,sh.688520,54.5,54.84,54.0,54.3,269241,14644139.0
2022-08-11,sh.688520,54.31,54.99,54.19,54.86,349494,19065994.0
2022-08-12,sh.688520,55.07,55.58,54.41,55.1,462432,25418630.0
2022-08-15,sh.688520,55.1,56.2,54.65,55.3,503405,27966576.35
2022-08-16,sh.688520,55.29,55.41,54.1,54.3,593210,32414196.45
2022-08-17,sh.688520,54.3,54.54,53.81,54.3,256226,13861439.47
2022-08-18,sh.688520,54.5,54.5,53.68,54.07,280452,15129327.57
2022-08-19,sh.688520,54.03,54.77,53.83,53.85,346915,18844675.16
2022-08-22,sh.688520,54.05,54.34,52.95,53.47,318558,17044771.79
2022-08-23,sh.688520,53.47,53.65,51.51,51.6,662353,34520934.43
2022-08-24,sh.688520,52.5,52.96,49.62,49.76,913702,46459654.87
