date,code,open,high,low,close,volume,amount
2024-12-23,sz.000880,9.99855989,10.2185424,9.98436747,10.2185424,11348698,162456283.05
2024-12-24,sz.000880,10.9991255,11.24039664,10.22563861,10.86429751,82316069,1256730684.14
2024-12-25,sz.000880,10.86429751,11.95001764,10.86429751,11.95001764,87509978,1448765388.44
2024-12-26,sz.000880,11.4958602,13.14218092,11.4958602,13.14218092,43614443,765125459.66
2024-12-27,sz.000880,13.44022174,14.45497977,12.60996517,13.5537611,85151173,1634272688.92
2024-12-30,sz.000880,13.482799,14.1214579,12.6312538,12.9860643,67345333,1253658589.61
2024-12-31,sz.000880,12.773178,13.49699142,11.74422755,12.2764433,59569407,1055312915.0
2025-01-02,sz.000880,12.24096225,12.86542873,11.7797086,12.4183675,37174557,640161738.7
2025-01-03,sz.000880,12.07065321,12.6312538,11.55972609,11.7087465,34025512,578251502.4
2025-01-06,sz.000880,11.80809344,12.12032668,11.24749285,11.62359198,26780542,441546140.28
2025-01-07,sz.000880,11.7087465,12.78737042,11.6377844,12.78737042,19722341,345162058.58
2025-01-08,sz.000880,12.773178,13.9795337,12.55319549,13.31958617,55959846,1033027943.65
2025-01-09,sz.000880,12.7022159,13.67439667,12.6312538,12.95767946,44923470,832644963.99
2025-01-10,sz.000880,13.92986023,14.25628589,13.10669987,13.1989506,45608087,880381409.35
2025-01-13,sz.000880,12.53190686,12.87962115,11.95001764,12.34030919,34559440,603326874.54
2025-01-14,sz.000880,12.71640832,13.25572028,12.35450161,13.22023923,26450787,479253125.09
2025-01-15,sz.000880,13.23443165,13.29120133,12.59577275,12.65254243,19910631,360511542.07
2025-01-16,sz.000880,12.65254243,12.95058325,12.39707887,12.63835001,16417001,293105184.71
2025-01-17,sz.000880,12.59577275,13.39764448,12.2054812,13.22733544,27147820,493120315.21
2025-01-20,sz.000880,14.00082233,14.5472305,13.89437918,14.5472305,9385021,189300735.3
2025-01-21,sz.000880,14.902041,16.00195355,14.76721301,16.00195355,49594944,1068125066.49
2025-01-22,sz.000880,16.06581944,17.030904,15.34910223,15.77487483,42126295,948021504.54
2025-01-23,sz.000880,15.76777862,16.17226259,14.81688648,15.22846666,35021975,757252196.85
2025-01-24,sz.000880,14.7665797,16.19491585,14.638669,15.45587625,33727560,737963691.4
2025-01-27,sz.000880,14.93002115,15.22847945,13.9138417,14.1696631,26452849,532308021.17
2025-02-05,sz.000880,13.928054,14.1696631,12.8621315,13.3311374,29496398,552118809.45
2025-02-06,sz.000880,13.5443219,13.7432941,13.19612055,13.38088045,21065188,397779270.33
2025-02-07,sz.000880,13.359562,14.2691492,13.21033285,13.66512645,36368507,702601262.49
2025-02-10,sz.000880,13.60827725,14.46101525,13.6011711,14.3970599,28670780,567090709.81
2025-02-11,sz.000880,14.33310455,15.02950725,13.9849032,14.0559647,25496761,518159467.47
2025-02-12,sz.000880,14.21940615,15.4629824,14.21940615,15.4629824,15376041,325180803.51
2025-02-13,sz.000880,15.62642385,15.917776,14.8376412,14.87317195,33517019,725487728.05
2025-02-14,sz.000880,14.8660658,16.3583573,14.5533952,16.3583573,37344529,814039681.97
2025-02-17,sz.000880,16.8984247,17.9927718,16.202022,17.4953413,40296239,971133294.76
2025-02-18,sz.000880,16.9268493,17.03344155,15.7472284,15.83960835,30437968,694016114.66
2025-02-19,sz.000880,15.63353,16.5431172,15.52693775,16.13806665,22663575,517084025.37
2025-02-20,sz.000880,16.5431172,17.6801012,16.5431172,16.91974315,26959085,649896470.0
2025-02-21,sz.000880,18.34097315,18.61100685,18.2485932,18.61100685,16058506,419729183.65
2025-02-24,sz.000880,19.0871189,20.47281815,18.8312975,20.47281815,15338669,434005408.09
2025-02-25,sz.000880,19.470851,22.51938935,19.46374485,22.51938935,54814853,1689966192.97
2025-02-26,sz.000880,23.1944736,23.35791505,21.43925455,22.51938935,36950245,1161035108.77
2025-02-27,sz.000880,21.86562355,22.6544062,20.87076255,21.9580035,29286301,891522407.51
2025-02-28,sz.000880,21.034204,21.7590313,20.323589,20.70021495,27419476,801441046.56
2025-03-03,sz.000880,20.20278445,20.9631425,18.7318114,18.8455098,32968808,892703923.82
2025-03-04,sz.000880,18.1775317,19.2576665,17.765375,19.15107425,28204015,737912747.46
2025-03-05,sz.000880,19.755097,20.41596895,18.55415765,19.56323095,35149680,969448913.55
2025-03-06,sz.000880,20.465712,21.5174222,20.465712,21.5174222,14536205,430638714.4
2025-03-07,sz.000880,21.3042377,22.81784765,21.08394705,21.7590313,42658823,1314972997.29
2025-03-10,sz.000880,21.31845,22.3701602,20.88497485,21.5174222,21807423,658120137.58
2025-03-11,sz.000880,20.9631425,23.67058565,20.9631425,23.67058565,43188528,1398230280.59
2025-03-12,sz.000880,25.29078785,26.0369336,24.871525,26.0369336,28696311,1045216362.64
2025-03-13,sz.000880,26.0369336,28.6377845,26.0369336,28.6377845,55926968,2141074022.65
2025-03-14,sz.000880,27.01047615,28.04797405,25.77400605,27.145493,45719905,1714008221.42
2025-03-17,sz.000880,27.145493,29.8600423,26.8754593,28.2682647,42682407,1685671206.11
2025-03-18,sz.000880,27.10996225,28.43170615,26.150632,26.577001,39494191,1495758157.02
2025-03-19,sz.000880,26.7901855,27.0460069,25.81664295,26.31407345,23498457,866887023.68
2025-03-20,sz.000880,26.1079951,26.49883335,25.13445255,25.1699833,30764668,1115147788.26
2025-03-21,sz.000880,24.9852234,26.21458735,24.8999496,25.30500015,32163589,1154560481.82
2025-03-24,sz.000880,25.0562849,25.5537154,24.04010545,25.5537154,28130627,974117572.11
2025-03-25,sz.000880,25.155771,25.6958384,22.9955014,22.9955014,27270660,908934593.03
2025-03-26,sz.000880,21.6737575,22.9386522,21.6453329,22.22093105,26906964,839585650.4
2025-03-27,sz.000880,22.0148527,22.881803,21.39661765,21.460573,24952480,780360086.12
2025-03-28,sz.000880,21.49610375,22.029065,20.9205056,21.0199917,19933658,597840915.46
2025-03-31,sz.000880,20.8068072,23.1234121,20.07487375,23.1234121,36744336,1122917239.82
2025-04-01,sz.000880,23.65637335,25.07760335,23.65637335,23.86955785,43653367,1488431474.08
2025-04-02,sz.000880,24.33856375,25.7526876,23.65637335,25.58214,50649075,1793005945.4
2025-04-03,sz.000880,24.445156,27.571862,23.450295,26.0795705,57290425,2025821979.68
2025-04-07,sz.000880,25.58214,27.571862,24.08274235,26.434878,59316513,2177783184.36
2025-04-08,sz.000880,26.17195045,27.00337,25.2126202,25.90191675,43264662,1578960746.35
2025-04-09,sz.000880,24.39541295,26.4775149,23.31527815,25.2268325,47382883,1653121843.05
2025-04-10,sz.000880,25.5110785,27.74951575,25.24815095,27.74951575,57908592,2206367631.92
2025-04-11,sz.000880,27.00337,28.0692925,26.52725795,26.78307935,42988093,1642468481.59
2025-04-14,sz.000880,26.7333363,28.92913665,26.22879965,28.1261417,41852163,1635391922.45
2025-04-15,sz.000880,28.6662091,28.68752755,26.72623015,27.2165545,29478945,1134412465.0
2025-04-16,sz.000880,26.2216935,26.52725795,24.49489905,24.49489905,38335599,1352341211.69
2025-04-17,sz.000880,23.450295,25.1415587,23.450295,23.74164715,27077472,922475375.57
2025-04-18,sz.000880,23.65637335,24.0756362,22.9528645,23.04524445,22070637,726555207.5
2025-04-21,sz.000880,22.97418295,25.34763705,22.97418295,25.04917875,35084917,1203161180.91
2025-04-22,sz.000880,25.0562849,25.1273464,23.450295,23.450295,29031513,976888335.29
2025-04-23,sz.000880,23.7061164,24.1324854,23.35791505,23.9335132,23526873,786711380.72
2025-04-24,sz.000880,23.67058565,24.018787,22.32041715,23.0949875,22819285,743946165.77
2025-04-25,sz.000880,22.8533784,24.32435145,22.3985848,23.5639934,27140980,907626493.37
2025-04-28,sz.000880,23.2371105,24.4309437,23.2371105,23.5782057,19099321,642500922.02
2025-04-29,sz.000880,23.34370275,24.2888207,22.8960153,23.94061935,21578024,720254517.54
2025-04-30,sz.000880,24.26750225,25.8379614,23.166049,25.07760335,34266008,1191713376.16
2025-05-06,sz.000880,26.05825205,27.35157135,25.724263,26.62674405,33923228,1258262404.05
2025-05-07,sz.000880,26.89677775,26.9323085,25.013648,25.34763705,31477600,1143315555.2
2025-05-08,sz.000880,25.155771,26.7901855,25.06339105,26.68359325,34331300,1268845007.37
2025-05-09,sz.000880,26.4206657,27.4865882,26.10088895,26.2643304,32517065,1227457781.95
2025-05-12,sz.000880,26.0937828,26.49883335,25.6105646,26.4490903,22225346,813509954.13
2025-05-13,sz.000880,26.7617609,27.856108,26.3069673,26.4490903,27279456,1035306784.2
2025-05-14,sz.000880,26.4206657,26.8896716,26.008509,26.0937828,20604461,761655797.88
2025-05-15,sz.000880,25.58214,25.724263,24.25328995,24.2746084,26863701,934967112.64
2025-05-16,sz.000880,23.5639934,24.5020052,23.5213565,23.92640705,22083569,743306753.97
2025-05-19,sz.000880,23.876664,23.876664,23.0807752,23.5355688,16408681,539409381.31
2025-05-20,sz.000880,23.4360827,24.5162175,23.1518367,23.9903624,17756066,596494983.13
2025-05-21,sz.000880,23.94061935,23.94061935,23.308172,23.44318885,11219707,371018938.08
2025-05-22,sz.000880,23.5213565,23.7203287,23.08788135,23.10209365,10171966,333123979.84
