date,code,open,high,low,close,volume,amount
2024-12-23,sz.300657,24.26,25.5,23.12,23.21,46781799,1134446292.85
2024-12-24,sz.300657,23.43,23.7,22.18,22.84,34599844,784926339.81
2024-12-25,sz.300657,22.68,23.11,21.72,22.28,28692201,637970277.92
2024-12-26,sz.300657,22.29,24.3,22.15,23.77,45617811,1068328063.69
2024-12-27,sz.300657,23.76,24.05,22.9,23.1,37578572,884873943.72
2024-12-30,sz.300657,23.55,24.18,23.1,24.17,45785756,1090828475.24
2024-12-31,sz.300657,23.84,24.0,22.65,22.66,32676516,758211943.84
2025-01-02,sz.300657,22.96,23.36,21.63,22.12,27509792,621809190.88
2025-01-03,sz.300657,22.2,22.33,20.5,20.72,29262612,620204023.58
2025-01-06,sz.300657,20.8,20.88,19.25,19.45,28119471,558762110.1
2025-01-07,sz.300657,19.57,20.09,19.38,20.09,20518131,405131569.28
2025-01-08,sz.300657,19.9,20.08,18.8,19.76,26643700,518024615.0
2025-01-09,sz.300657,19.57,21.01,19.57,20.25,26425453,541565867.95
2025-01-10,sz.300657,20.05,20.35,19.41,19.41,21796100,434359992.0
2025-01-13,sz.300657,19.37,19.43,18.63,19.23,15318100,291714210.0
2025-01-14,sz.300657,19.32,21.2,19.19,21.17,29453910,600213947.14
2025-01-15,sz.300657,21.48,21.6,20.58,20.75,21761901,456092583.62
2025-01-16,sz.300657,20.83,21.27,20.37,20.52,19479500,404377041.22
2025-01-17,sz.300657,20.46,21.27,20.46,20.88,21303704,444980949.04
2025-01-20,sz.300657,21.18,21.25,20.76,20.88,16967290,356422016.9
2025-01-21,sz.300657,21.01,25.0,20.71,23.98,60440797,1368517768.66
2025-01-22,sz.300657,23.0,23.18,22.1,22.47,47491798,1065952807.68
2025-01-23,sz.300657,22.75,23.1,21.81,21.88,36087324,811590608.47
2025-01-24,sz.300657,22.1,22.98,22.04,22.77,35445746,799553678.13
2025-01-27,sz.300657,22.77,22.77,21.47,21.47,29569980,649829646.0
2025-02-05,sz.300657,21.8,22.77,21.26,22.4,32593398,723028184.07
2025-02-06,sz.300657,24.97,25.77,23.58,25.29,92692068,2309307082.42
2025-02-07,sz.300657,25.8,27.71,24.8,26.8,103300198,2733418901.45
2025-02-10,sz.300657,27.46,27.88,25.8,26.32,96586721,2592871945.61
2025-02-11,sz.300657,26.26,27.07,25.65,25.66,72550544,1909667824.95
2025-02-12,sz.300657,26.79,27.6,26.45,26.93,73272361,1976837696.0
2025-02-13,sz.300657,27.57,32.18,25.88,30.66,125149080,3560393051.05
2025-02-14,sz.300657,31.04,33.5,30.0,32.28,123057904,3891697856.77
2025-02-17,sz.300657,38.74,38.74,35.75,36.5,129148222,4802104474.26
2025-02-18,sz.300657,36.19,36.88,33.05,33.42,108074194,3708069349.89
2025-02-19,sz.300657,36.1,37.7,34.7,37.03,115280798,4187313212.49
2025-02-20,sz.300657,36.94,39.88,35.33,35.47,108947901,4033395212.22
2025-02-21,sz.300657,37.24,41.88,35.89,40.43,143036414,5484946875.73
2025-02-24,sz.300657,40.88,43.32,39.1,40.44,124600844,5103308019.97
2025-02-25,sz.300657,38.78,40.63,38.03,38.96,93230517,3667052167.18
2025-02-26,sz.300657,39.1,42.75,37.28,41.6,102822412,4123388418.79
2025-02-27,sz.300657,42.88,44.45,41.0,42.3,103026219,4393962295.06
2025-02-28,sz.300657,40.0,40.33,35.6,36.58,94212802,3566829283.61
2025-03-03,sz.300657,37.28,37.6,34.87,35.44,68181418,2454142010.47
2025-03-04,sz.300657,34.67,36.4,34.67,36.05,50151643,1788408364.59
2025-03-05,sz.300657,39.5,40.17,37.76,39.68,92773395,3617593751.06
2025-03-06,sz.300657,40.23,42.8,39.55,42.18,113981641,4708537618.44
2025-03-07,sz.300657,40.78,46.66,39.98,44.89,126484181,5497211213.24
2025-03-10,sz.300657,43.0,44.35,42.01,43.32,77440744,3339954632.12
2025-03-11,sz.300657,42.74,46.13,41.94,45.98,83867450,3660901610.07
2025-03-12,sz.300657,45.7,47.61,40.8,41.85,114652447,5172715446.91
2025-03-13,sz.300657,42.53,43.37,40.08,42.34,82403858,3461515089.88
2025-03-14,sz.300657,41.0,42.2,39.01,41.9,70392044,2878398963.36
2025-03-17,sz.300657,41.11,44.38,41.07,43.3,70740034,3034228230.92
2025-03-18,sz.300657,43.62,44.32,41.3,42.0,70477851,3005641256.27
2025-03-19,sz.300657,41.16,41.58,39.08,39.27,70467783,2814129591.28
2025-03-20,sz.300657,38.9,40.16,37.9,38.32,53888975,2097136653.45
2025-03-21,sz.300657,38.03,38.92,37.41,37.85,52028410,1987111117.6
2025-03-24,sz.300657,37.45,38.06,36.05,36.76,47038385,1733968842.14
2025-03-25,sz.300657,36.82,36.99,33.8,34.14,62492177,2178539282.11
2025-03-26,sz.300657,34.03,35.6,34.03,35.21,44495717,1555908951.39
2025-03-27,sz.300657,35.21,35.45,33.7,33.91,42097430,1445980903.96
2025-03-28,sz.300657,33.91,34.88,33.83,33.97,31401640,1075615089.2
2025-03-31,sz.300657,33.92,35.48,33.8,35.18,58361572,2023631269.05
2025-04-01,sz.300657,34.93,35.24,33.88,33.91,39475265,1357926702.98
2025-04-02,sz.300657,34.2,34.97,33.55,34.07,34228871,1173894311.83
2025-04-03,sz.300657,33.36,34.39,32.5,32.91,39608925,1315613609.27
2025-04-07,sz.300657,29.6,30.34,26.33,26.33,52968213,1490648603.33
2025-04-08,sz.300657,26.81,27.55,25.75,26.95,54306179,1454772346.52
2025-04-09,sz.300657,26.47,27.91,24.28,27.49,57038107,1518829562.59
2025-04-10,sz.300657,29.0,29.82,28.32,28.32,53890305,1563393655.83
2025-04-11,sz.300657,28.33,29.18,28.06,28.6,40354014,1153681726.72
2025-04-14,sz.300657,29.4,29.87,28.9,29.08,38033048,1112338127.52
2025-04-15,sz.300657,29.18,29.56,28.58,29.19,30797273,895270340.78
2025-04-16,sz.300657,27.0,27.55,25.46,26.16,70468900,1859348210.38
2025-04-17,sz.300657,26.01,26.49,25.76,25.76,34788739,907177821.22
2025-04-18,sz.300657,25.92,26.48,25.67,25.74,25114158,652902189.92
2025-04-21,sz.300657,25.74,26.36,25.45,26.35,26994020,701345926.82
2025-04-22,sz.300657,26.38,26.43,25.36,25.4,26648900,686202864.54
2025-04-23,sz.300657,25.77,26.95,25.67,26.37,39792225,1045505668.35
2025-04-24,sz.300657,26.25,26.3,25.33,25.5,24620160,633620968.2
2025-04-25,sz.300657,25.7,26.29,25.5,25.76,24320100,631231739.37
2025-04-28,sz.300657,26.01,26.76,25.66,25.76,24027863,626004948.9
2025-04-29,sz.300657,25.63,26.44,25.4,26.16,26572699,695573157.56
2025-04-30,sz.300657,26.3,27.34,26.13,27.05,34546321,930942664.19
2025-05-06,sz.300657,27.31,28.43,27.31,28.4,37672907,1056812929.16
2025-05-07,sz.300657,29.0,29.0,27.61,28.03,36881191,1036941865.35
2025-05-08,sz.300657,27.88,28.75,27.88,28.51,29000131,824708968.44
2025-05-09,sz.300657,28.35,28.35,27.42,27.6,24988670,693167994.16
2025-05-12,sz.300657,27.94,28.15,27.65,28.12,21261835,594271063.83
2025-05-13,sz.300657,29.0,29.5,28.13,28.24,45539918,1313020624.33
2025-05-14,sz.300657,28.9,30.0,28.39,29.97,63658347,1858753707.97
2025-05-15,sz.300657,29.31,29.49,27.73,27.8,52077154,1489587641.11
2025-05-16,sz.300657,27.16,28.13,27.16,27.5,25870106,718358174.01
2025-05-19,sz.300657,27.47,28.4,26.43,27.91,30351081,830610629.86
2025-05-20,sz.300657,28.72,28.97,27.92,28.36,27180380,767843337.5
2025-05-21,sz.300657,28.02,28.29,27.52,27.63,20839555,579362724.25
2025-05-22,sz.300657,27.37,27.76,26.76,26.82,21885548,594530418.39
2025-05-23,sz.300657,26.63,26.88,25.89,25.95,23606006,621548064.17
2025-05-26,sz.300657,26.05,26.87,25.89,26.68,19753884,520249133.88
2025-05-27,sz.300657,26.55,26.62,25.93,26.0,14459090,378426859.3
2025-05-28,sz.300657,26.01,26.45,25.68,25.95,14704220,383269433.68
2025-05-29,sz.300657,26.0,26.56,25.94,26.37,17688465,465395120.99
2025-05-30,sz.300657,26.3,26.3,25.36,25.54,17426355,446542726.9
2025-06-03,sz.300657,25.03,25.62,25.02,25.16,12655249,320584469.35
2025-06-04,sz.300657,25.31,25.96,25.27,25.55,16721945,429258915.23
2025-06-05,sz.300657,25.43,26.77,25.26,26.49,29444014,770118885.77
2025-06-06,sz.300657,26.49,27.76,26.49,27.05,38069571,1035159355.87
2025-06-09,sz.300657,27.05,27.49,26.91,27.38,21840189,595101030.89
2025-06-10,sz.300657,27.35,27.37,26.03,26.38,24114326,641142634.04
2025-06-11,sz.300657,26.4,26.69,26.06,26.09,16214804,427148111.22
2025-06-12,sz.300657,25.96,26.45,25.81,25.89,16456757,429079930.68
2025-06-13,sz.300657,25.66,25.84,24.52,24.85,25481868,637609199.07
2025-06-16,sz.300657,24.74,25.54,24.61,25.3,16095635,406933021.05
2025-06-17,sz.300657,25.4,25.48,24.89,25.05,12839405,321839493.6
2025-06-18,sz.300657,24.86,27.5,24.8,26.67,45774858,1203865571.43
2025-06-19,sz.300657,26.78,27.45,26.19,26.3,33171527,887230339.56
2025-06-20,sz.300657,26.2,26.69,25.32,25.38,23109871,598133684.94
2025-06-23,sz.300657,25.02,25.95,25.0,25.91,17996515,460874307.3
2025-06-24,sz.300657,26.05,27.79,26.01,27.23,38590089,1041070411.67
2025-06-25,sz.300657,27.25,27.64,26.99,27.6,34141446,933601792.52
2025-06-26,sz.300657,27.8,28.46,27.37,27.65,42364092,1184637014.96
2025-06-27,sz.300657,28.31,28.79,27.58,28.16,41573736,1175874607.41
2025-06-30,sz.300657,28.18,28.36,27.74,27.89,31751140,888192596.33
2025-07-01,sz.300657,28.52,29.17,28.05,28.28,44271752,1262983876.39
2025-07-02,sz.300657,27.9,27.9,27.06,27.25,28950818,791034312.57
2025-07-03,sz.300657,27.12,28.14,27.0,27.98,27971327,773729119.41
2025-07-04,sz.300657,27.8,28.34,27.31,27.4,26858667,746939720.12
2025-07-07,sz.300657,26.97,27.41,26.71,26.83,18742500,504599016.0
2025-07-08,sz.300657,26.81,27.95,26.74,27.9,26460048,729848186.12
2025-07-09,sz.300657,27.52,27.82,26.91,27.07,27222520,741814094.6
2025-07-10,sz.300657,27.12,27.2,26.4,26.59,19486052,520458726.6
2025-07-11,sz.300657,26.6,27.07,26.26,26.87,16436080,439522024.2
2025-07-14,sz.300657,27.0,28.23,26.9,27.9,34704034,962637085.2
2025-07-15,sz.300657,27.8,28.97,27.6,28.52,57789566,1640525673.5
2025-07-16,sz.300657,29.49,30.14,28.52,28.52,68395232,2001802417.65
2025-07-17,sz.300657,28.34,29.28,28.08,29.06,47344944,1365458451.14
2025-07-18,sz.300657,28.8,29.56,28.77,28.88,36983429,1076173846.69
2025-07-21,sz.300657,28.6,29.0,28.2,28.72,29436288,841111327.5
2025-07-22,sz.300657,28.55,28.75,28.01,28.09,25191327,712000726.31
2025-07-23,sz.300657,28.0,28.75,28.0,28.24,23987276,682199697.72
2025-07-24,sz.300657,28.1,28.75,28.06,28.62,22226117,633964633.65
2025-07-25,sz.300657,28.69,29.55,28.42,29.28,37114074,1080667925.75
2025-07-28,sz.300657,29.5,29.99,29.2,29.57,39767245,1179245450.3
2025-07-29,sz.300657,29.6,29.7,28.92,29.51,27979754,818966456.72
2025-07-30,sz.300657,29.45,29.51,28.37,28.63,28665287,827708327.07
