date,code,open,high,low,close,volume,amount
2023-01-03,sz.300045,6.51,6.73,6.49,6.71,4221600,28131136.03
2023-01-04,sz.300045,6.72,6.83,6.7,6.79,4283582,28972854.96
2023-01-05,sz.300045,6.84,6.84,6.71,6.73,3411320,22973782.6
2023-01-06,sz.300045,6.73,6.74,6.61,6.64,4166820,27754301.4
2023-01-09,sz.300045,6.61,6.69,6.6,6.63,3705400,24572342.0
2023-01-10,sz.300045,6.6,6.67,6.57,6.58,3531100,23274872.0
2023-01-11,sz.300045,6.56,6.61,6.51,6.52,2966649,19447048.77
2023-01-12,sz.300045,6.56,6.78,6.56,6.64,6417170,42836652.0
2023-01-13,sz.300045,6.62,6.67,6.56,6.6,3776104,24948454.4
2023-01-16,sz.300045,6.6,6.76,6.6,6.73,4409202,29538155.88
2023-01-17,sz.300045,6.74,6.76,6.66,6.68,2729189,18305881.52
2023-01-18,sz.300045,6.74,6.8,6.68,6.77,4112933,27806382.42
2023-01-19,sz.300045,6.75,6.9,6.73,6.87,5569000,38117883.0
2023-01-20,sz.300045,6.92,6.93,6.84,6.89,5072264,34919273.76
2023-01-30,sz.300045,6.94,7.2,6.83,7.14,33475402,235815718.59
2023-01-31,sz.300045,7.05,7.37,6.98,7.37,30498260,219961599.2
2023-02-01,sz.300045,7.32,7.56,7.25,7.55,30193388,225197064.64
2023-02-02,sz.300045,7.75,9.06,7.75,9.06,73608880,647728360.56
2023-02-03,sz.300045,9.06,9.06,8.33,8.44,94947886,818719831.21
2023-02-06,sz.300045,8.25,8.63,8.16,8.3,55956976,466804499.98
2023-02-07,sz.300045,8.15,8.2,7.96,8.07,41768178,336731788.45
2023-02-08,sz.300045,8.15,8.15,7.93,7.94,29471692,236771266.4
2023-02-09,sz.300045,7.89,8.03,7.87,8.03,26074523,207840830.73
2023-02-10,sz.300045,7.97,8.06,7.82,7.84,24979601,197917369.84
2023-02-13,sz.300045,7.92,8.19,7.89,8.13,40413103,326947363.24
2023-02-14,sz.300045,8.1,8.48,8.03,8.09,40461378,333546385.67
2023-02-15,sz.300045,8.02,8.21,7.95,8.14,27099459,219555728.93
2023-02-16,sz.300045,8.16,8.23,7.85,7.91,26963000,217272814.06
2023-02-17,sz.300045,7.91,8.05,7.7,7.92,24997373,196761570.09
2023-02-20,sz.300045,7.86,7.95,7.73,7.89,16315700,127925601.0
2023-02-21,sz.300045,7.88,8.15,7.82,8.05,25244589,202380132.39
2023-02-22,sz.300045,8.0,8.5,7.93,8.42,51929212,430142927.8
2023-02-23,sz.300045,8.47,8.47,8.18,8.27,34661327,286567791.81
2023-02-24,sz.300045,8.33,8.35,8.19,8.25,25573395,211723002.6
2023-02-27,sz.300045,8.18,8.89,8.13,8.49,49352959,422530962.36
2023-02-28,sz.300045,8.41,8.58,8.33,8.5,28705592,242662137.06
2023-03-01,sz.300045,8.43,8.68,8.36,8.6,31191411,265495787.73
2023-03-02,sz.300045,8.56,8.72,8.48,8.54,27062000,232450564.0
2023-03-03,sz.300045,8.53,8.61,8.41,8.45,24842608,210993855.4
2023-03-06,sz.300045,8.41,8.74,8.4,8.44,25125821,214754319.03
2023-03-07,sz.300045,8.42,8.51,8.1,8.17,24595100,203976435.0
2023-03-08,sz.300045,8.15,8.44,8.15,8.41,18884399,157746682.65
2023-03-09,sz.300045,8.49,8.62,8.34,8.5,21875300,185378191.17
2023-03-10,sz.300045,8.37,8.63,8.36,8.52,24626000,210194336.0
2023-03-13,sz.300045,8.46,9.06,8.32,8.9,45430531,398457482.38
2023-03-14,sz.300045,8.9,9.68,8.66,9.16,72058650,664190572.82
2023-03-15,sz.300045,9.0,9.35,8.92,9.13,37565332,341693286.93
2023-03-16,sz.300045,9.13,9.62,9.1,9.28,52002653,486781252.37
2023-03-17,sz.300045,9.2,10.19,9.16,9.92,74354676,726994999.75
2023-03-20,sz.300045,10.1,10.53,9.61,9.86,69338203,693652234.72
2023-03-21,sz.300045,10.06,10.33,9.48,9.64,53929724,526370267.33
2023-03-22,sz.300045,9.33,10.14,9.26,10.13,61452100,604516023.89
2023-03-23,sz.300045,9.91,11.19,9.87,10.83,83975499,893245121.26
2023-03-24,sz.300045,11.1,11.53,10.28,10.37,90334129,981471432.29
2023-03-27,sz.300045,10.06,10.4,9.95,10.21,51567319,523991230.04
2023-03-28,sz.300045,10.25,10.35,9.7,9.7,38594997,384110009.67
2023-03-29,sz.300045,9.7,9.84,9.48,9.63,26826000,259321033.0
2023-03-30,sz.300045,9.75,10.29,9.61,10.14,47529335,475554546.76
2023-03-31,sz.300045,10.0,10.03,9.64,9.81,28477186,278702518.5
2023-04-03,sz.300045,9.71,10.46,9.66,10.36,43687237,445102093.73
2023-04-04,sz.300045,10.19,10.31,9.91,10.02,33307600,335436519.0
2023-04-06,sz.300045,9.96,10.06,9.74,9.81,28120300,277080888.0
2023-04-07,sz.300045,9.85,9.92,9.6,9.8,25601200,248716465.0
2023-04-10,sz.300045,9.8,9.84,9.22,9.25,27972100,264426338.34
2023-04-11,sz.300045,9.25,9.35,9.0,9.24,20118833,184802910.93
2023-04-12,sz.300045,9.15,9.39,9.11,9.31,14837200,137468385.0
2023-04-13,sz.300045,9.3,9.3,9.01,9.02,19551000,178256767.42
2023-04-14,sz.300045,9.06,9.13,8.82,9.02,15937396,143058072.88
2023-04-17,sz.300045,9.06,9.15,8.82,8.92,13488479,120672224.68
2023-04-18,sz.300045,8.88,8.92,8.64,8.77,11518300,100695770.0
2023-04-19,sz.300045,8.76,9.11,8.71,8.89,14213100,126875270.0
2023-04-20,sz.300045,9.05,9.19,8.74,8.79,18725096,166441288.88
2023-04-21,sz.300045,8.61,9.01,8.38,8.43,31249767,270642733.93
2023-04-24,sz.300045,8.38,8.66,8.27,8.42,15293441,128591074.17
2023-04-25,sz.300045,8.32,8.43,8.08,8.14,15022200,123226336.0
2023-04-26,sz.300045,8.13,8.4,8.11,8.13,12486300,102802868.98
2023-04-27,sz.300045,8.1,8.3,7.95,7.98,14526950,117585356.0
2023-04-28,sz.300045,8.03,8.41,8.03,8.39,15580900,129540053.0
2023-05-04,sz.300045,8.4,8.57,8.34,8.5,12574601,106302236.5
2023-05-05,sz.300045,8.51,8.57,8.32,8.48,11492500,96841708.0
2023-05-08,sz.300045,8.45,8.68,8.45,8.66,11504100,99198974.0
2023-05-09,sz.300045,8.62,8.65,8.37,8.4,10205600,86829495.05
